SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Solana,SOL,21-08-2020 23:59,3.22E+11,2.91E+11,3.21E+11,2.94E+11,1.18E+14,9.27E+14
2,Solana,SOL,22-08-2020 23:59,3.19E+11,27573269666,2.95E+11,3.02E+11,1.03E+14,9.51E+14
3,Solana,SOL,23-08-2020 23:59,3.40E+11,3.02E+11,3.02E+11,3.32E+11,1.20E+14,1.05E+14
4,Solana,SOL,24-08-2020 23:59,3.61E+11,3.22E+11,3.31E+11,3.34E+11,1.58E+14,1.06E+14
5,Solana,SOL,25-08-2020 23:59,3.36E+11,3.03E+11,3.35E+11,3.26E+11,1.34E+13,1.04E+14
6,Solana,SOL,26-08-2020 23:59,3.80E+11,3.19E+11,3.27E+11,3.56E+11,2.21E+14,1.14E+14
7,Solana,SOL,27-08-2020 23:59,3.85E+11,3.29E+11,3.56E+11,3.45E+11,2.10E+14,1.11E+13
8,Solana,SOL,28-08-2020 23:59,4.31E+11,3.45E+11,34524946514,40113925268,2.72E+14,1.30E+14
9,Solana,SOL,29-08-2020 23:59,4.11E+11,3.79E+11,4.01E+11,3.97E+11,1.46E+14,1.29E+14
10,Solana,SOL,30-08-2020 23:59,4.71E+11,3.92E+11,3.97E+11,4.44E+11,2.22E+14,1.44E+13
11,Solana,SOL,31-08-2020 23:59,4.87E+11,4.11E+11,4.42E+11,4.78E+11,2.10E+14,1.55E+14
12,Solana,SOL,01-09-2020 23:59,4.94E+11,4.34E+11,4.78E+11,4.34E+11,1.69E+14,1.42E+14
13,Solana,SOL,02-09-2020 23:59,4.36E+11,3.71E+11,4.35E+11,4.16E+11,2.37E+14,1.37E+14
14,Solana,SOL,03-09-2020 23:59,4.44E+11,3.53E+11,4.17E+11,3.53E+11,2.65E+14,1.18E+14
15,Solana,SOL,04-09-2020 23:59,38341037395,3.20E+11,3.52E+11,3.55E+11,1.77E+14,1.19E+14
16,Solana,SOL,05-09-2020 23:59,3.66E+11,2.19E+11,3.55E+11,2.60E+11,2.51E+14,8.73E+14
17,Solana,SOL,06-09-2020 23:59,3.18E+11,22881912589,2.60E+11,3.09E+11,2.04E+14,1.04E+14
18,Solana,SOL,07-09-2020 23:59,3.19E+11,2.39E+11,30860842934,29285280901,1.71E+13,9.99E+14
19,Solana,SOL,08-09-2020 23:59,2.94E+11,23986406226,2.93E+11,24689767582,1.02E+14,8.48E+14
20,Solana,SOL,09-09-2020 23:59,37517156829,2.39E+11,24711781185,3.64E+11,5.24E+13,1.26E+14
21,Solana,SOL,10-09-2020 23:59,3.85E+11,3.32E+11,3.64E+11,34698368119,3.12E+14,1.21E+13
22,Solana,SOL,11-09-2020 23:59,3.50E+11,3.04E+11,3.47E+11,3.43E+11,1.71E+14,1.20E+14
23,Solana,SOL,12-09-2020 23:59,3.47E+11,3.15E+11,3.42E+11,33326599913,1.04E+14,1.17E+14
24,Solana,SOL,13-09-2020 23:59,3.47E+11,3.01E+11,3.34E+11,3.23E+11,1.53E+14,1.13E+14
25,Solana,SOL,14-09-2020 23:59,3.52E+11,3.09E+11,3.23E+11,3.27E+11,2.13E+14,1.19E+13
26,Solana,SOL,15-09-2020 23:59,3.32E+11,2.92E+11,3.27E+11,2.94E+11,1.20E+14,1.08E+14
27,Solana,SOL,16-09-2020 23:59,2.94E+11,24538387192,2.94E+11,2.55E+11,2.42E+14,9.39E+14
28,Solana,SOL,17-09-2020 23:59,29341024459,2.37E+11,2.55E+11,2.89E+11,2.38E+14,1.07E+13
29,Solana,SOL,18-09-2020 23:59,3.16E+11,27416758717,2.89E+11,3.11E+11,2.35E+14,1.16E+14
30,Solana,SOL,19-09-2020 23:59,32534204148,2.97E+11,3.11E+11,3.03E+11,1.08E+14,1.13E+14
31,Solana,SOL,20-09-2020 23:59,3.03E+11,2.72E+11,3.03E+11,28709033938,9.22E+14,1.07E+14
32,Solana,SOL,21-09-2020 23:59,3.03E+11,2.50E+11,28709033938,2.78E+11,1.95E+14,1.05E+12
33,Solana,SOL,22-09-2020 23:59,29943702542,2.67E+11,2.77E+11,2915519109,1.86E+14,1.10E+14
34,Solana,SOL,23-09-2020 23:59,306533837,274630293,293035489,283675707,1.61E+15,1.08E+16
35,Solana,SOL,24-09-2020 23:59,325156306,279564658,28381205,313271463,1.90E+15,1.19E+16
36,Solana,SOL,25-09-2020 23:59,32651654,291177164,314554425,318861239,1.59E+15,1.22E+16
37,Solana,SOL,26-09-2020 23:59,320390555,304126653,318803034,313470267,1.10E+15,1.21E+16
38,Solana,SOL,27-09-2020 23:59,317349913,301055105,313383751,315294678,9.73E+14,1.23E+16
39,Solana,SOL,28-09-2020 23:59,320419115,293595445,315270485,295667817,1.10E+15,1.17E+16
40,Solana,SOL,29-09-2020 23:59,301009535,29017903,295836068,294643322,8.82E+14,1.18E+16
41,Solana,SOL,30-09-2020 23:59,297934849,283566951,294907405,289787636,7.77E+14,1.17E+16
42,Solana,SOL,01-10-2020 23:59,298583389,265739801,289816187,286102773,1.08E+15,1.16E+16
43,Solana,SOL,02-10-2020 23:59,287663497,245779116,286419729,262608296,1.59E+15,1.08E+16
44,Solana,SOL,03-10-2020 23:59,266949457,25473028,262733511,25473028,6.16E+14,1.04E+16
45,Solana,SOL,04-10-2020 23:59,258803611,242888892,254301234,251599459,7.08E+14,1.04E+15
46,Solana,SOL,05-10-2020 23:59,266262353,246732033,25191348,265764391,8.11E+13,1.10E+16
47,Solana,SOL,06-10-2020 23:59,265519989,214769193,265519989,217625031,9.74E+12,9.07E+15
48,Solana,SOL,07-10-2020 23:59,239193728,209576005,217580888,229179581,1.18E+15,9.67E+14
49,Solana,SOL,08-10-2020 23:59,243061025,202852581,229998163,236522028,1.49E+15,1.00E+15
50,Solana,SOL,09-10-2020 23:59,262526821,231709043,236774234,253985887,1.20E+15,1.08E+16
51,Solana,SOL,10-10-2020 23:59,259409546,240317166,253693313,240608988,8.84E+14,1.02E+16
52,Solana,SOL,11-10-2020 23:59,245756612,234492143,240736736,242657824,7.17E+14,1.03E+16
53,Solana,SOL,12-10-2020 23:59,269863904,241586194,242611451,258707246,1.23E+15,1.10E+16
54,Solana,SOL,13-10-2020 23:59,258489141,234817094,258489141,240491019,1.14E+15,1.04E+16
55,Solana,SOL,14-10-2020 23:59,24366138,224625651,240819629,231463525,9.44E+14,1.01E+16
56,Solana,SOL,15-10-2020 23:59,233579578,220341796,231480004,226643616,8.33E+14,9.86E+15
57,Solana,SOL,16-10-2020 23:59,22656708,212792144,226520031,21493861,1.36E+15,9.35E+13
58,Solana,SOL,17-10-2020 23:59,223830479,213240858,214563569,220184324,6.61E+14,9.58E+15
59,Solana,SOL,18-10-2020 23:59,224884625,217832695,220274967,221426738,6.29E+14,9.64E+14
60,Solana,SOL,19-10-2020 23:59,221351195,205321062,221337207,205807954,8.25E+14,8.96E+15
61,Solana,SOL,20-10-2020 23:59,209786117,185415368,205810177,188867176,1.31E+15,8.27E+15
62,Solana,SOL,21-10-2020 23:59,206620621,186123476,188861172,189037825,1.93E+15,8.27E+15
63,Solana,SOL,22-10-2020 23:59,208243359,188981692,189037216,195565252,1.14E+15,8.66E+15
64,Solana,SOL,23-10-2020 23:59,198477147,18533095,195706771,196003515,1.15E+15,8.73E+14
65,Solana,SOL,24-10-2020 23:59,196165021,188234354,196003515,191182801,7.58E+14,8.51E+15
66,Solana,SOL,25-10-2020 23:59,192294152,176864379,191182801,178745942,9.09E+14,8.00E+15
67,Solana,SOL,26-10-2020 23:59,186298989,162936547,178745942,168546625,1.34E+15,7.63E+15
68,Solana,SOL,27-10-2020 23:59,174540288,160528662,168546624,171023239,1.44E+15,7.83E+14
69,Solana,SOL,28-10-2020 23:59,171902702,139457221,171023239,149005343,1.71E+15,6.82E+14
70,Solana,SOL,29-10-2020 23:59,156689179,141242636,149005346,142893639,8.02E+14,6.54E+14
71,Solana,SOL,30-10-2020 23:59,146731855,134221311,142893639,144133589,8.53E+14,6.60E+15
